subject,body,category
Regarding hangout,hangout are dinner the are on family be of,Social
Regarding invite,that or of in but so dinner it that this invite,Social
Regarding discount,will but but price in be be discount discount,Promotions
Regarding deadline,so will clearance at project save are deadline of be project,Primary
Regarding update,this that will will it in but be verify on that update,Updates
Regarding presentation,discuss report of but will to for that to presentation was the,Primary
Regarding meeting,is but on on or meeting be it this are the project schedule,Primary
Regarding schedule,for this schedule for for project deadline of,Primary
Regarding presentation,it was presentation at of was on to project is,Primary
Regarding report,be the deadline report be this this but will for,Primary
Regarding photo,it presentation in photo be or discuss hangout are in this of to the,Social
Regarding price,deal this this are price be so was this it offer to and,Promotions
Regarding meetup,but but be hangout meetup it meetup in,Social
Regarding report,report of is this are meeting to presentation on was,Primary
Regarding share,be share meetup hangout will of that to that this or are will,Social
Regarding meetup,was was to of are that be that and meetup will video,Social
Regarding agenda,of is is on agenda discuss will that the to,Primary
Regarding percent,so or percent save that to but the so will policy confirm,Promotions
Regarding report,deadline report but that the in are the are this agenda but deal that save,Primary
Regarding friend,and to will photo friend was or,Social
Regarding report,is that at of report this presentation is on and on will,Primary
Regarding clearance,cheap was this on on clearance are,Promotions
Regarding discount,are clearance for so at clearance was so discount are,Promotions
Regarding dinner,that dinner photo so to the is the invite this or,Social
Regarding account,account so is security confirm and was of is,Updates
Regarding schedule,or the to is in schedule meeting and at it for,Primary
Regarding office,team to at family be on video and it it but office but,Primary
Regarding family,is in family video on and in,Social
Regarding photo,for will photo dinner dinner on are of it of and is to,Social
Regarding verify,for are this for that at are settings account verify,Updates
Regarding party,party or is was friend at was or on so in,Social
Regarding office,it will be in or be office project,Primary
Regarding cheap,cheap password save of is was to security that,Promotions
Regarding settings,share will was be confirm settings on are this,Updates
Regarding presentation,in are meeting the presentation verify but of the or so it it,Primary
Regarding project,are the team project will this is was,Primary
Regarding photo,video and in photo share will was will and of on and of,Social
Regarding clearance,but so but so on bargain clearance but in,Promotions
Regarding share,are the it dinner or and in is friend in share so presentation on,Social
Regarding cheap,to party but cheap are is but clearance,Promotions
Regarding party,share the the this but was hangout party of,Social
